date,crime,zone,summary,pio
"June 26, 2019",Shooting,Zone 5,"Pittsburgh Bureau of Police officers from Zone 5, as well as EMS, responded to reports of a male shot in the 900 block of Homewood Avenue just after 12:00 a.m. When police arrived on scene they found a male victim who was shot in the buttocks. He told police he had just exited the bus when he was shot. The male was transported to a local hospital by EMS in stable condition. Police are investigating.",Cara Cruz
"November 17, 2021",Theft,All zones,"The Pittsburgh Bureau of Police is warning the public about a recent string of catalytic converter thefts from vehicles. Over the past three weeks, four catalytic converters have been stolen from the undercarriages of vehicles in the Friendship, Bloomfield and Garfield neighborhoods. Multiple similar thefts or attempted thefts have been reported throughout the city this year. The majority of the incidents are believed to have occurred in the overnight hours. Vehicle owners report hearing a very loud sound after starting their engines before discovering their catalytic converters missing. Police are appealing to the public to be aware of any individuals who they don’t normally see in their neighborhoods, as well as any vans or trucks that are out of the ordinary, as thieves often work in tandem. They also encourage neighbors to share information and, when possible, train any home security cameras toward parked vehicles if there is concern. As always, any suspicious activity should be reported to 9-1-1 immediately.",Cara Cruz
"March 29, 2020",Shots fired,Zone 5,"Pittsburgh Police from Zone 5 responded to a ShotSpotter alert, followed by 911 calls, for multiple shots fired in the area of Black Street between Fern Street and N.Negley Avenue just before 6 p.m. When police arrived on scene they learned two vehicles had been exchanging gunfire. One of the vehicles believed to have been involved in the shooting was found abandoned on Collins Street. Police continue to search for the other vehicle. Meantime, a vehicle crashed into a house at Black St. and N. Negley Avenue trying to escape the gunfire. The female driver suffered a graze wound to her shoulder and was treated by medics at the scene, but she refused to be transported to the hospital. Her vehicle received damage from the gunfire. There were no other occupants. Two residences and at least two parked vehicles were also struck by gunfire, but there were no other victims. Detectives from Major Crimes and the Crime Scene Unit processed the scene. The investigation continues.",Cara Cruz
"August 6, 2021",Warrant,Zone 5,"On Wednesday, Zone 5 officers executed a search warrant in the 7300 Block of Bennett Street. During the search, 16 firearms were recovered, as well as numerous firearms accessories. A marijuana grow operation was also discovered inside of the house, 6 large marijuana plants as well as 10 small marijuana plants were recovered.",Maurice Matthew
"September 26, 2020",Shooting,Zone 2,"Pittsburgh Police responded to a report of a male shot on Fort Duquesne Boulevard, between the 7th and 9th street bridges around 11:15 a.m. Responding Zone 2 officers discovered the male victim on the 100 block of 7th Street Downtown. The victim was conscious and alert with two gunshot wounds. Officers rendered aid before medics arrived. Medics transported him to a local hospital in stable condition. There were no other injuries. The investigation is ongoing.",Maurice Matthew
"October 14, 2020",Missing Person,All zones,"Original Post: Pittsburgh Police Special Victims Unit (SVU) detectives seek the public's assistance in locating a missing 12-year-old. Haz'sson Kirkland was last seen on October 14 at approximately 3 p.m. in the 1500 block of Crucible Street. He is described as 5'6"", 130 pounds, with brown eyes and thin, inch-long black dreads. He was possibly wearing the hoodie in the photo provided. If seen, please contact SVU detectives at (412) 323-7141 or dial 911.",Cara Cruz
"September 18, 2021",Shooting,Zone 2,"Pittsburgh Police responded to the 2600 block of Penn Avenue for a Shotspotter alert around 12:30 a.m. When Zone 2 officers arrived, they were notified that a male gunshot victim was being taken to a local hospital by private vehicle. Officers located the vehicle driven by an individual, with the victim in the back seat. He was listed as critical but stable. The Mobile Crime Unit arrived and processed the scene. The investigation is ongoing.",Maurice Matthew
"January 10, 2020",Shooting,Zone 2,"Pittsburgh Bureau of Police officers responded to a ShotSpotter alert, followed by 911 calls, of gunfire at the corner of Roberts Street and Bedford Avenue around 6:45 p.m. Zone 2 officers found a male with multiple gunshot wounds on the sidewalk. The officers rendered aid until medics arrived. Medic 14 transported the victim to a local hospital in critical condition. VCU and Mobile Crime Scene Unit detectives responded to process the scene. Police are investigating. UPDATE: The shooting victim was pronounced dead late Jan. 10. Police continue to investigate.",Chris Togneri
"November 24, 2020",Injured Person Found,Zone1,Pittsburgh Police officers from Zone 1 responded for reports of a male found unresponsive in the street in the 700 block of River Avenue just before 7:45 p.m. The male victim appeared to have suffered some trauma and was transported to the hospital by EMS in critical condition. It is not yet known exactly how the male incurred his injuries. The investigation is ongoing.,Cara Cruz
"February 22, 2020",Stolen Vehicle,Zone 2,"Pittsburgh Bureau of Police officers on regular patrol observed a stolen vehicle at the intersection of Bedford Avenue and Memory Lane shortly after 6 p.m. When Zone 2 officers turned on their lights, the driver of the stolen vehicle initially stopped, but then drove away. Police followed, but quickly decided not to pursue. Near the intersection of Webster Avenue and Wooster Street, the car slowed and a male passenger tried to get out. However, before he was completely out of the vehicle, the driver sped away, causing the door to strike the passenger in the face and cause a minor injury to his lip. The driver did not stop, but continued to drive away. Police detained the male and found that he had a warrant for failure to appear. He was also in possession of drug paraphernalia. Zone 2 officers are investigating.",Chris Togneri
"July 15, 2019",Vehicle v. Pedestrian,Zone 1,"Pittsburgh Bureau of Police officers from Zone 1 responded to a call of female who was struck by a vehicle while exiting a Port Authority bus on Chateau Street at Rush Street, just before 8 a.m. The woman was transported to Allegheny General Hospital by EMS in serious to stable condition with a possible concussion. No charges have been laid against the driver of the vehicle at this time. Police are investigating.",Cara Cruz
"March 6, 2021",Fatal Shooting,Zone 5,"Pittsburgh Police and EMS responded to a 9-1-1 call for the 7600 block of Frankstown Avenue for a male lying in the street around 2 a.m. When first responders arrived, they observed the male face down in the street with a gunshot wound to the head. Medics pronounced the victim deceased. The investigation is ongoing.",Maurice Matthew
"September 12, 2020",Vandalism,Zone 2,"Pittsburgh Police seek the public’s help identifying the adult male in this image in connection to vandalism Friday night at Freedom Corner. The image is taken from a video that showed the man walking down Centre Avenue towards Freedom Corner around 11:20 p.m. When he reaches Freedom Corner, he is observed vandalizing and throwing items, including a tent, which had been organized in a corner of the square. He briefly walks away, then returns and throws more items on the sidewalk and into the street before continuing down Centre Avenue and crossing Crawford Street. City Public Works were called to help clean the debris Saturday. Anyone with information on this man’s identity is asked to call Zone 2 police at (412) 255-2827.",Chris Togneri
"May 16, 2021",Fatal Shooting,Zone 5,"Pittsburgh Police responded to a Shotspotter alert for 11 rounds on the 600 block of N Dallas Avenue around 3:45 a.m. When Zone 5 officers arrived, they were directed to a male with multiple gunshot wounds. Police rendered aid until EMS arrived. The victim was pronounced deceased at the scene by medics. A second male arrived at a local hospital by private vehicle, with a gunshot wound to the hand. VCU and MCU detectives arrived and processed the scene. The investigation is ongoing.",Maurice Matthew
"October 7, 2019",Unusual,Uptown/Oakland,"Fifth Avenue and Boulevard of the Allies have been reopened after a garbage truck was hoisted and removed from a collapsed parking pad on the 2400 block of Fifth Avenue. The complicated preparation and lift took more than eight hours, resulting in traffic diversions. Thank you to commuters for your patience while Allegheny Crane Rental performed a safe removal. At approximately 7:30 a.m. a garbage collection truck partially fell through a concrete parking pad that collapsed under its weight in the 2400 block of Fifth Avenue. Pittsburgh Bureau of Fire, Pittsburgh Police, Allegheny County and the Port Authority were called in to assess how and when to extract the vehicle. Allegheny Crane Rental will be conducting the complicated removal procedure which will shut down Fifth Avenue from 2 p.m. on October 7 until further notice. Drivers inbound will be diverted to the Boulevard of the Allies on ramp at Robinson Street. Access back on to Fifth Avenue will be at Moultrie Street and Jumonville Street from Boulevard of the Allies. At approximately 6 PM - During the actual crane lift, Boulevard of the Allies will be closed from Robinson Street to the the Birmingham Bridge for approximately one hour. NOTE: This operation could take several hours. Please watch this space and Public Safety social media pages for updates.",Cara Cruz
"June 3, 2021",Shooting,Zone 1,Just before 1 a.m. Pittsburgh Police from Zone 1 responded to a Shotspotter alert and 9-1-1 calls for multiple shots fired on the 1700 block of Belleau Drive. Responding officers located a female victim who suffered multiple gunshot wounds to her legs while inside her vehicle. She was transported by EMS to the hospital in stable condition. No other victims were immediately located. Two unoccupied vehicles and a vacant apartment were also struck by gunfire. The Crime Scene Unit responded to process the scene. The investigation is ongoing.,Cara Cruz
"July 6, 2020",Rescue,Zone 5,"Just after 4 p.m, the Pittsburgh Bureaus of EMS, Fire and Police responded to a residence in the 1500 block of Oberlin Street for a female who fell through a deck floor and could not self-extricate. Upon arrival they found that the woman was in a motorized wheelchair that went through the deck, falling about 10 feet. She was conscious and alert when she was rescued. EMS transported her to the hospital in stable condition with unknown injuries. PLI was contacted to inspect the deck structure.",Cara Cruz
"November 29, 2020",Shooting,Zone 3,"Pittsburgh Bureau of Police officers responded to a report of a female shot in the foot on the 2600 block of South 18th Street around 1:30 a.m. Zone 3 officers located the victim, who was conscious and alert with a gunshot wound to her foot. Medics transported her to a local hospital in stable condition. No arrests at this time. The investigation is ongoing.",Chris Togneri
"January 21, 2020",Hit and Run,Zone 3,Pittsburgh Police officers from Zone 3 responded to reports of a vehicle that drove into a Uni-Mart store on the 1900 block of Brownsville Road at 3:28 a.m. Officers spoke with the store clerk and a witness who described the vehicle crashing into the glass front doors of the store and reversing before fleeing the scene. No one was hurt. Police have reviewed camera footage from inside and outside of the store and describe a black Mercedes 4-sedan. Only the front of the vehicle was caught on camera so no license plate information was immediately available. The investigation is ongoing. Anyone with information is asked to call Zone 3 at (412) 488-8326.,Cara Cruz
"September 9, 2021",SWAT,Zone 4,"Pittsburgh Police from Zone 4 responded to the 200 block of S. Braddock Avenue just before 4:15 p.m. for a female who threatened a male with a knife inside a home. Responding officers were met by the female actor at the landing of the residence where she charged at them with a knife before barricading herself inside. The male and other residents were able to exit safely. SWAT operators were called to the scene with negotiators. Multiple verbal hails were given to convince the female to leave the home, with negative results. Flash bangs and gas were deployed in an effort to draw the female out of the residence. The female eventually surrendered without incident just before 7 p.m. Medics evaluated her on site before she was taken into custody. Pittsburgh Bureau of Fire was also on scene.",Cara Cruz
"October 12, 2020",Missing Person,All zones,"Pittsburgh Police Special Victims Unit (SVU) detectives seek the public's assistance in finding a missing male in need of medical attention. Shavon Lofland, 28, is described as 5'10"" tall, approximately 150 pounds, with black hair and brown eyes. Lofland has scars on both arms and is missing a front tooth. He was last seen in the Glen Hazel area of the city wearing a black and yellow Steelers jacket, a red baseball cap, and a black and red backpack. If seen please call SVU detectives at (412) 323-7141 or dial 9-1-1.",Cara Cruz
"September 5, 2020",SWAT,Zone 2,Pittsburgh Police from Zone 2 responded to a domestic incident in the 700 block of Bryn Mawr Road at around 4:45 p.m. When officers arrived on scene a female was outside of the apartment and told them a male was inside the building with a firearm. SWAT was called out of an abundance of caution. The male was eventually found hiding inside an apartment that wasn't his. He was arrested without incident. He faces firearms and domestic-related charges. Another male faces possible charges for obstruction by harboring the male in his residence. The roadway was cleared around 6 p.m.,Cara Cruz
"February 7, 2020",Collision,Zone 3,"Pittsburgh Police officers from Zone 3, as well as firefighters from Pittsburgh Bureau of Fire Engine 23, responded to a report of a truck that had struck a utility pole in the 20 block of Newett Street just before 10 a.m. When they arrived on scene they met with a witness who said that he watched the truck slide down the hill before hitting the pole and pulling down some wires. The driver of the vehicle told the witness he was going to drive to a safer spot and then report the collision to police. Police have not received any report from the driver so they are treating this as a hit and run. Meantime, a firefighter who came out to the scene slipped on some ice and injured his back. He was transported to the hospital by EMS for treatment. No one on the street was injured. Duquesne Light responded to repair the utility pole. Police are investigating.",Cara Cruz
"March 17, 2021",Shots fired,Zone 1,"On March 17, just before 3:30 p.m. Pittsburgh Police Zone 1 units responded for shots fired in the area of East Street and Foreland Street. While en route, officers received multiple 9-1-1 calls for reports of two vehicles shooting back and forth at each other. Officers found three bullet holes in a window of a building in the 700 block of East Street and a vehicle that had also been struck once by gunfire. One of the suspect vehicles was located unoccupied with multiple bullet holes at the intersection of Knoll Street and Ocala Street. It was towed to the Auto Squad. The Mobile Crime Unit processed the scene. The investigation is ongoing.",Cara Cruz
"July 11, 2019",Fatal Shooting,Zone 3,Pittsburgh Bureau of Police officers responded to 911 calls and a ShotSpotter report of gunfire on the 100 block of Millbridge Street around 10:30 p.m. Responding officers from Zone 3 found a gunshot victim deceased on a sidewalk. Detectives from the Violent Crimes Unit and Crime Scene Unit arrived on scene. Police are investigating. Anyone with information on this shooting is asked to call Police at (412) 323-7800.,Chris Togneri
"October 26, 2021",Shooting,Zone 5,"Pittsburgh Police responded to a Shotspotter alert for the 7300 block of Hamilton Avenue around 8:20 p.m. Responding Zone 5 officers located to a male with a gunshot wound to the leg. Medics transported the victim to a local hospital in stable condition. The Mobile Crime Unit arrived to processed the scene. There were no suspect descriptions, and the investigation is ongoing.",Maurice Matthew
"February 26, 2020",One-Alarm Fire,Zone 3,Pittsburgh Bureau of Firefighters responded to the report of a structure fire at 800 block of Boggs Avenue around 5 p.m. Upon arrival firefighters observed the one-alarm fire in one of the apartment units. A male victim was discovered inside and carried out by firefighters. Medics transported the victim to a local hospital in critical condition. Firefighters extinguished the fire shortly after arriving. Residents were allowed to return to their homes. The Fire Investigation Unit will investigate to determine the cause.,Maurice Matthew
"June 4, 2021",Vehicle Fire,Zone 2,"Pittsburgh EMS, Fire and Police responded to the 00 block of 35th Street around 1 p.m. for a reported vehicle fire. When fire fighters arrived, they observed the tractor-trailer fully engulfed in flames. The building next to the truck sustained minor damage from the flames. The driver was able to escape the truck on his own. The fire started when the tractor-trailer made contact with a utility pole. That caused the pole to break, landing the wires onto the trailer. Pittsburgh Hazardous Materials (HazMat) Response Team arrived to contain the leaking diesel fuel. There were no injuries and the investigation is ongoing.",Maurice Matthew
"June 3, 2019",Stolen Vehicle/Foot Pursuit,Zone 6,"Pittsburgh Bureau of Police officers from Zone 6 responded to a call from a school crossing guard that there was a male driving a motorcycle on the sidewalk in the 500 block of Stadium Street in Esplen at approximately 8:30 a.m. Police responded with the K-9 unit and set up a perimeter. After searching the area extensively on foot, they witnessed the male suspect turn down a one-way, dead-end street before he dumped the motorcycle, jumped a fence and rolled down a hill. Police pursued him on foot through a heavily-wooded area until they lost sight of him. Police are in possession of the motorcycle, which had been stolen from Zone 3. Police are looking for a male in his early 20's with short dreadlocks and a gap between his front teeth. He was wearing black and white shoes and dark pants which could be muddy from his fall. Anyone with any information is asked to call Zone 6 at (412) 937-3051.",Cara Cruz
"November 9, 2020",Missing Person,Zone 1,UPDATE: 11/1020 9:17 a.m. Bernard Dennis has been located and he is safe. Thank you to the public and the media for your concern. ----------,"Pittsburgh Police Special Victims Unit (SVU) detectives seek the public's assistance in locating an endangered missing male.</p> <p>Bernard Dennis, 45, is 6 feet 1 inch tall, 195 pounds with brown eyes and black hair.</p> <p>He was last seen in the Manchester area of Pittsburgh on November 8th wearing a gray sweatshirt.</p> <p>If seen please call SVU detectives at <a href=""tel:(412) 323- 7141"">(412) 323- 7141</a>.</p> <p><img alt="""" src=""http://apps.pittsburghpa.gov/redtail/images/12074_Missing_person_B.Dennis.png"" style=""height:400px; width:300px""/></p> <strong"
"August 22, 2021",Shooting,Zone 3,"Pittsburgh Police responded to a Shotspotter alert for multiple rounds fired near the intersection of South 19th and East Carson streets around 2:35 a.m. Police working in the South Side reported hearing multiple shots fired and receiving a Shotspotter alert. When officers arrived, they located multiple shell casings on the ground. There were no reported injuries and the investigation is ongoing.",Maurice Matthew
"December 11, 2019",Bomb threat,Zone 6,"Pittsburgh Bureau of Police officers responded to a 911 call of a bomb threat on the 2800 block of Banksville Road around 11:15 a.m. Responding officers from Zone 6 were made aware that the building had been evacuated by the business staff. As a precaution, officers closed Banksville road between Potomac and Wenzell avenues. Pittsburgh EMS, Pittsburgh Fire, the Bomb Squad and a K-9 unit were dispatched to the scene. The box in question was located by officers in the rear of the building. The Bomb Squad determined the box was not a threat. The K-9 did not detect anything suspicious inside. Banksville Road was reopened to traffic around 12:45 p.m.",Maurice Matthew
"December 27, 2020",SWAT call,Zone 5,"Pittsburgh Police officers attempted to serve a PFA order against an adult female on the 5500 block of Baywood Street around 7:30 p.m. The female became combative, barricaded herself in her apartment and began throwing objects at police. SWAT was called to the residence, and the woman continued to throw objects. Around 8:20 p.m., SWAT officers gained entry to the residence and took the woman into custody without incident. Medics on scene treated her for self-inflicted lacerations to her arms. The investigation continues. When the woman is medically cleared, she could face assault and/or reckless endangerment charges for throwing objects at officers. Baywood Street was closed for about an hour during the incident.",Chris Togneri
"March 23, 2020",Possible COVID-19 Exposure,Zone 2,"ORIGINAL POST: Pittsburgh Bureau of Police Officers from Zone 2 responded to a minor collision involving two vehicles in Market Square today around noon. One of the drivers was determined to exhibit symptoms similar to COVID-19. The driver was transported to a local hospital for testing. Out of an abundance of caution, officers who were at the crash scene were sent home to self-isolate until the matter is further evaluated. None of the officers are showing symptoms.",Chris Togneri
"November 20, 2021",Fatal Collision,Zone 5,"Pittsburgh EMS, Fire, and Police responded to a bicyclist vs. vehicle collision on the 5700 block of Stanton Avenue around 1 a.m. When first responders arrived they located the unconscious cyclist and begin CPR. Medics pronounced the male deceased. The female driver remained on the scene. The Collision Investigation Unit arrived to process the scene and the investigation is ongoing.",Maurice Matthew
"July 2, 2019",Shooting,Zone 4,Pittsburgh Bureau of Police Zone 4 officers responded to a report of shots fired on the 400 block of Elizabeth Street around 12:05 a.m. Officers found a male with a grazing wound to his shoulder. Medics transported him to a local hospital in good condition. Police are investigating.,Chris Togneri
"February 5, 2021",Missing Person Search,Southside Riverfront Park,"Police continue to search for Thomas Hughes, 25, who was last seen Jan. 23. Police conducted another search of Southside Riverfront Park and surrounding areas this morning at 9 a.m. The search operation included patrol officers, bicycle units, River Rescue (which is comprised of Police and EMS personnel), the Special Victims Unit and the Allegheny County Sheriff's Office (which deployed drones). Hughes was not located. Police ask the public again: If you have any information of Hughes’s whereabouts, please call the Special Victims Unit at (412) 323-7141. For more information, see the Public Safety Blotter post from Jan. 24.",Chris Togneri
"August 24, 2020",Fatal Shooting,Zone 2,"Pittsburgh Police responded to a 9-1-1 call of a male shot in the 5100 block of Kent Way around 1 a.m. When first responders arrived, they were directed to a male with multiple gunshot wounds. Medics transported the victim to a local hospital in critical condition. The victim was pronounced deceased shortly after. There were no other victims or suspect descriptions. The Mobile Crime Unit arrived to process the scene, and the investigation is ongoing.",Maurice Matthew
"April 21, 2021",Shooting,Zone 1,"Pittsburgh Police from Zone 1 responded for a Shotspotter alert, followed by a 9-1-1 call, for shots fired in the 2100 block of Rhine Street just after 8:15 p.m. An adult male victim was transported to a local hospital via private vehicle with gunshot wounds to the leg and torso. He arrived in serious but stable condition. Detectives from Major Crimes and the Crime Scene Unit are investigating. The investigation is ongoing.",Cara Cruz
"August 1, 2021",River Rescue,Zone 3,"River Rescue, EMS, and Police responded to the 300 block of Station Square Drive for a reported body floating in the water around 10:40 a.m. A 9-1-1 caller directed first responders to the location of the deceased victim. The victim was extricated from the river, and taken by River Rescue. The Allegheny County Medical Examiner will determine the cause of death. The investigation is ongoing.",Maurice Matthew
"November 5, 2019",911 Call,Zone 5,"Pittsburgh Bureau of Police Officers responded to a 911 call of a man with a gun and possible warrants in an apartment on the 600 block of N Braddock Ave around 7:30 p.m. Zone 5 officers arrived and found the male attempting to jump from a second floor window. When they called to him, he went back inside and presented a possible barricade situation. SWAT was called. However, before SWAT officers arrived, the male surrendered without incident. Police confirmed the warrants and took the male into custody. The investigation continues, and police intend to search the residence for the reported gun. While police secured the area, a firehouse next door at the intersection of N Braddock and Hamilton, which was also a polling place, was placed on temporary lockdown with people inside instructed to shelter in place. The lockdown lasted about 15 minutes.",Chris Togneri
"June 20, 2020",Missing Person,Zone 3,"Pittsburgh Bureau of Police detectives from the Special Victims Unit seek the public’s help locating a missing 15-year-old. Kennia Johnson is described as 5 feet 1inch tall, 119 pounds with brown eyes and long braided hair. She was last seen around 1:30 p.m. on Brownsville Road walking towards Mount Oliver wearing a purple t-shirt, black leggings and blue eye glasses. If seen, or you have any information on Kennia please call 412-323-7141 .",Maurice Matthew
"October 7, 2021",Gas Leak,Zone 4,"Pittsburgh Bureau of Fire responded to the intersection of Zulema Street and Coltart Avenue around 10:50 a.m. for a reported gas leak. When firefighters arrived, they discovered a natural gas line was struck by a work crew which resulted in a large leak. Firefighters conducted natural gas readings in the area and determined an evacuation of nearby homes and businesses was not necessary. People’s Gas contained the leak around 2 p.m. and local roads opened soon after.",Maurice Matthew
"May 3, 2019",,,: Chris Togneri,
"October 2, 2020",Vehicle Collision,Zone 2,"Pittsburgh Bureaus of EMS, Police, and Fire responded to a three-vehicle collision at Wood Street and Fifth Avenue downtown before 3:45 p.m. Six people received injuries, three of them were transported to the hospital by medics. Two children were taken to Children's Hospital and one adult female was transported to Mercy Hospital. All three were in stable condition. The three other injured parties refused medical attention. It's believed the cause of the collision was due to a medical condition. Police are investigating.",Cara Cruz
"April 7, 2021",Bear sighting,Zone 3,"Pittsburgh Police Zone 3 officers responded to calls for several sightings of a black bear in the early morning hours of April 7. Officers spotted a bear once on Groveland Street in Overbrook, on Wyoming Street near Shiloh Street, and again on Sweetbriar and Lipton on Mount Washington. Animal Care and Control has contacted the Pennsylvania Game Commision and the 9-1-1 center has also been advised. Anyone who spots a bear is advised to leave it alone, refrain from feeding it, and call 9-1-1 with a location it was last seen.",Cara Cruz
"June 16, 2021",Shooting,Zone 6,Pittsburgh Police from Zone 6 responded to the 300 block of Minton Street for a Shotspotter alert for multiple shots fired just before 8:45 p.m. Responding officers located a juvenile male victim with a gunshot wound to the leg. He was transported to the hospital in priority condition. Another juvenile male was taken to headquarters to be questioned. One residence was also struck on the 3000 block of Merwyn Avenue. The residents inside were not injured. Major Crimes and Crime Scene Unit detectives are investigating. The investigation is ongoing.,Cara Cruz
"October 9, 2019",Vehicle Crash,Zone 6,"Pittsburgh Bureau of Police officers responded to a report of a vehicle into a structure on the 2500 block of Pioneer Avenue around 7:30 p.m. Responding officers from Zone 6 found a vehicle that had driven into an apartment building. Medics transported the driver to a local hospital in stable condition. The Department of Permits, Licenses and Inspections was summoned to investigate the building’s structural integrity. One resident was relocated. Police are investigating.",Maurice Matthews II
"September 15, 2019",Shooting,Zone 2,"Pittsburgh Bureau of Police officers from Zone 2 were called to perform a welfare check on a resident in an apartment building on the 2100 block of Centre Avenue Friday morning. Officers found the resident, a 72-year-old male, deceased on the floor inside his apartment. Homicide detectives arrived and took over the investigation. It initially appeared that the victim died of natural causes, but after further on-site investigation, it was determined that the victim had sustained a gunshot wound or wounds to the upper body. The investigation is ongoing.",Chris Togneri
"July 20, 2020",Aggravated Assault,Zone 5,"Detectives with the Damage Assessment and Accountability Task Force (DAAT) continue to investigate criminal activity that occurred during recent protests in the city. Police seek the public’s assistance to identify the male in this series of photographs who was observed throwing bricks at police in the area of Centre and Negley during a protest in East Liberty on June 1. He was wearing a camouflage baseball cap, a “Curators of Hip Hop” t-shirt, and Nike Air Max 95 shoes. Anyone with information is asked to email the task force at DAAT@Pittsburghpa.gov or call (412) 323-7800 and ask for the task force.",Cara Cruz
"August 30, 2019",Drug Bust,Zone 1,Dion Anderson Raymond Moon Raynell Moon,Cara Cruz
"May 4, 2021",HazMat,Zone 2,"The Pittsburgh Public Safety Hazardous Materials Team responded to 21st and Railroad Street in the Strip District for reports of a controlled ammonia leak inside the Consumer’s Produce facility. Four team members in HazMat gear entered the building two at a time to measure the ammonia levels to ensure it was safe for repair crews to enter, find, and fix the leak. Medics conducted pre-entry and post-entry medical evaluations for the HazMat team members. It was determined that the levels were safe enough for repair crews to go in and do their work wearing the appropriate safety gear. Engine 32, Rescue 2, and Police from Zone 2 were also on scene. No one was injured.",Cara Cruz
"May 7, 2020",SWAT,Zone 1,Pittsburgh Bureau of Police officers responded to a report of a carjacking suspect who ran into a home on the 300 block of Mt. Pleasant Road around 8:15 p.m. SWAT was called when officers learned that a women and children might be in the house. SWAT gave multiple commands for the suspect to exit. A woman and children left the house unharmed. The suspect surrendered and was arrested without incident shortly after. There were no reported injuries. Police are investigating.,Maurice Matthew
"December 24, 2021",Missing Person,Pittsburgh,: Anthony Jenkins has been found safely. PBP thanks the public for their help.,
"May 18, 2019",Concert,North Shore,"Final Public Safety numbers for the Garth Brooks concert at Heinz Field are as follows: Arrests: 0 Citations: 0 EMS transports: 22 EMS treated on-scene: 75 Note: The majority of EMS transports and treatments were for heat-related issues. Around 7:45 p.m., the stadium was cleared due to weather concerns in the area. The storm passed, and fans were allowed back to their seats around 8:20 p.m. No other issues to report.",Chris Togneri
"June 23, 2019",Shooting,Zone 3,Pittsburgh Bureau of Police officers from Zone 3 first responded to reports of a male shot in the 40 block of Briggs Street at 6:20 p.m.,
"March 11, 2020",Welfare Check,Zone 5,"Pittsburgh Bureau of Police officers were dispatched on a welfare check of two children at a residence on the 2300 block of East Hills Drive on Tuesday, March 10 around 3:20 p.m. Zone 5 officers went to the residence after a Facebook video circulated showing an unidentified female encounter two unsupervised children (ages 2 and 3) walking shoeless and with few items of clothing on around the neighborhood. The female drove the children to a security office. When the children’s mother arrived, she slapped the older child on the side of the head and took the children away. Police attempted to locate the mother and children, but no one answered the door. Police returned to the address several times and found no one home during the evening. Based on evidence that the children, a boy and a girl, had been left unattended to walk across streets and parking lots while improperly clothed, police issued an arrest warrant for the mother Tuesday night. On Wednesday, March 11, officers took her into custody near her East Hills residence. Tevanna Keith, 22, is charged with two counts of endangering the welfare of a child. The children were located and were in good health with no apparent injuries.",Chris Togneri
"January 27, 2021",SWAT,Zone 5,"Pittsburgh Police from Zone 5 responded to a call for a hostile and armed male in the 600 block of Collins Street just after 10 p.m. When responding officers arrived on scene they were met by a male who threatened them before barricading himself inside an apartment building, refusing to come out. SWAT was called in, as the priority was to protect the other residents who were now considered hostages. EMS and Fire were also on scene. SWAT operators were able to evacuate the hostages from the building and take them to a safe place. Police were unable to establish contact with the male actor still inside to negotiate with him, so multiple verbal hails were made to convince him to exit the residence. Those attempts were unsuccessful. Eventually, gas munitions were deployed and, after some time, the male surrendered without further incident. He was taken into custody and cleared medically by EMS before being transported to Allegheny County Jail. ￼",Cara Cruz
"December 16, 2021",SWAT,Zone 1,"Pittsburgh Police from Zone 1 were called for reports of a domestic dispute in the 2600 block of Norwood Avenue where shots were fired around 5 a.m. Arriving units were met by the male party outside the residence who told them another male inside the home fired at him. Shortly after, the female party involved in the dispute came out to speak with police. Officers were told there were an additional five people inside the house, including a baby. SWAT officers were called to the scene believing that a possible hostage situation was underway. After establishing negotiations with the remaining adult occupants inside the home, that was determined not to be the case.The remaining individuals surrendered without incident. Everyone involved was evaluated and cleared by medics. The investigation is ongoing.",Cara Cruz
"January 13, 2021",Shooting,Zone 3,"Pittsburgh Bureau of Police officers responded to a report of a male shot in the lower extremity on the 2300 block of Brownsville Road. Zone 3 officers located the victim outside, and medics transported him to a local hospital in stable condition. No arrests at this time. The Crime Scene Unit processed the scene for evidence and Major Crimes detectives are investigating.",Chris Togneri
"September 8, 2021",Abandoned Vehicles Removed,Zone 6,"The Pittsburgh Bureau of Police completed its fourth blitz to remove abandoned vehicles from City streets in the Brookline, Beechview, Elliot and Sheraden neighborhoods. Through the efforts of Motorcycle Units and Abandoned Vehicle Officers from multiple police zones, a total of 43 complaints were addressed which resulted in: 12 towed away. 31 gone from the area. Police thank Pittsburgh residents for their cooperation in this effort.",Maurice Matthew
"June 27, 2020",Stabbing,Zone 5,"Pittsburgh Bureau of Police officers responded to a stabbing inside a small business near the intersection of Lincoln Avenue and Loire Way around 9:50 p.m. Zone 5 officers found a male who worked at the store with stab wounds to his face. Medics transported the victim to a local hospital in critical but stable condition. Per the initial investigation, the male actor left the store and walked up Lincoln Avenue. Near the intersection of Lincoln and Wiltsie Street, the actor stabbed a second male multiple times. The victim was pronounced dead at the scene. No arrests at this time. The investigation is ongoing. Anyone with information on this fatal stabbing is asked to call Violent Crime Unit detectives at (412) 323-7161.",Chris Togneri
"November 13, 2019",Vehicle Versus Pedestrian,Zone 4,Pittsburgh Police and CMU Police responded to a report of a vehicle versus pedestrian collision at Fifth and Morewood Avenues around 3:15 p.m. Zone 4 officers and CMU officers found a male victim in the intersection. Medics transported him to UPMC Presbyterian in critical condition. The driver stayed on scene and is cooperating with police. Officers closed multiple lanes on Fifth Avenue while investigators processed the scene. Commuters should expect delays. The Collision Investigation Unit is investigating the cause of the crash.,Maurice Matthews II
