headline,link,date,author,description,tags
Hotel deadline extended for Orlando conference,https://www.ire.org/hotel-deadline-extended-for-orlando-conference/,"May 13, 2011",hdcoadmin,IRE has worked with the Renaissance Orlando Resort at Sea World to extend the deadline to receive a discounted rate on rooms. Conference attendees have until May 20 to book […],"campus-1, School Shooting, sources-1, Uncategorized, Violence"
Washington state bans toxic asphalt sealants.,https://www.ire.org/washington-state-bans-toxic-asphalt-sealants/,"May 6, 2011",hdcoadmin,"Washington state is now the largest government in the country to ban the cancer-causing industrial waste. The asphalt sealant is used on surfaces such as driveways, parking lots, and even […]",
Need advice to finish that project? Sign up for IRE's Mentor program,https://www.ire.org/need-advice-to-finish-that-project-sign-up-for-ires-mentor-program/,"May 5, 2011",hdcoadmin,Update: Deadline to sign up for a mentor has been extended to May 23. Get the most out of the IRE conference by signing up for a mentor. Since IRE […],"wards-1, IRE, IRE Conference"
IRE Biloxi workshop postponed,https://www.ire.org/ire-biloxi-workshop-postponed/,"May 2, 2011",hdcoadmin,"Due to the recent extreme weather conditions that have hit the Southern portion of the United States, the IRE Better Watchdog Workshop originally scheduled for May 13  in Biloxi, Miss., […]","Accidents, budget;, Tour, Uncategorized, undercover stories"
Absentee voting begins for IRE Board election!,https://www.ire.org/absentee-voting-begins-for-ire-board-election/,"April 29, 2011",hdcoadmin,"Six seats on the 13-member IRE Board of Directors are up for election. The election will be held June 11 at the IRE annual conference in Orlando, Fla. Nine members […]",Uncategorized
Stories for broadcast reporters to tackle this summer,https://www.ire.org/stories-for-broadcast-reporters-to-tackle-this-summer/,"April 29, 2011",hdcoadmin,"By Kyle Deas Graduate Student, University of Missouri With spring sweeps here and the summer fast approaching, the enterprising broadcast reporter may be on the lookout for ways to make […]",Uncategorized
Six seats up for election on the IRE Board - Deadline to file and appear on absentee ballots is April 26,https://www.ire.org/six-seats-up-for-election-on-the-ire-board-deadline-to-file-and-appear-on-absentee-ballots-is-april-26/,"April 20, 2011",hdcoadmin,The filing period has begun for those planning to run for the IRE Board of Directors. Six seats on the 13-member board are up for election. The election will be […],"both sides of the law, Broadcast, critique, freedom of information act, gauging FOIA worldwide, hidden lives of guns, house of horrors, investigative, IRE Board, the fed's trillion dollar secret, Transparency Watch"
Free webinar to IRE members: Investigating aviation safety,https://www.ire.org/free-webinar-to-ire-members-investigating-aviation-safety/,"April 14, 2011",hdcoadmin,"From plane parts cracking to air traffic controllers snoozing, there's plenty to investigate in the aviation industry. Join NPR's Robert Benincasa to learn about tools that can help you better […]","nimal control, animals, euthanasia, military;, Training, training_1, veterans;, war, webinar, webinar_1"
2010 IRE Award winners announced,https://www.ire.org/2010-ire-award-winners-announced/,"April 8, 2011",hdcoadmin,"Investigations that found financial mismanagement and fraud in business and industry, cover-ups of lethal products, and failure of government to protect the public are among the works honored in the […]","thlete, athletics, awards, census, college, football, IRE Awards, sports, stadium, steroids, university"
IRE Toronto workshop postponed,https://www.ire.org/ire-toronto-workshop-postponed/,"April 6, 2011",hdcoadmin,"Due to national elections being called in Canada, the IRE Better Watchdog Workshop originally scheduled for April 30-May 1 in Toronto has been postponed. IRE will reschedule the workshop. Stay […]","Jill Abramson, leaks, New York Times, Training, training_1"
IRE Membership Drive prize winners announced,https://www.ire.org/ire-membership-drive-prize-winners-announced/,"March 14, 2011",hdcoadmin,"Thanks to everyone who joined or renewed their memberships during the recently completed membership drive. IRE has seen strong increases in membership, and we greatly appreciate your support. We also […]","IRE News, lightning, talks"
Investigation shows Phoenix kidnapping statistics are skewed,https://www.ire.org/investigation-shows-phoenix-kidnapping-statistics-are-skewed/,"March 11, 2011",hdcoadmin,"Using Arizona's Open Records Law, Dave Biscobing of KNXV-TV in Phoenix recently uncovered discrepancies in kidnapping statistics used by the Phoenix Police Department to obtain more than $2 million in […]",
Taking CAR 2011 home,https://www.ire.org/taking-car-2011-home/,"March 3, 2011",hdcoadmin,"There is plenty to take home from the CAR Conference, whether or not you made it to Raleigh, N.C. The four-day conference offered hands-on training of new analytical resources, along […]",Conference
CAR conference comes to Raleigh,https://www.ire.org/car-conference-comes-to-raleigh/,"February 24, 2011",hdcoadmin,IRE's annual Computer-Assisted Reporting Conference is taking place in Raleigh this weekend. On-site registration is still available. Find computer-assisted reporting tips and news from the conference on the conference blog […],Uncategorized
Analysis of aviation data reveals frequent safety problems,https://www.ire.org/analysis-of-aviation-data-reveals-frequent-safety-problems/,"February 18, 2011",hdcoadmin,"""A six-month examination of more than 150,000 reports filed by pilots and others in the aviation industry over the past 20 years reveals surprising and sometimes shocking safety breaches and […]",
It's not too late to attend the CAR Conference in Raleigh!,https://www.ire.org/its-not-too-late-to-attend-the-car-conference-in-raleigh/,"February 18, 2011",hdcoadmin,"While early-bird registration has ended, you have not missed your opportunity to attend this great training event.  On-site registrations will be accepted beginning Thursday, February 24 at 7:30 a.m. and […]","CAR Conference, lightning, talks, Uncategorized"
"IRE Receives $100,000 from Ethics & Excellence in Journalism Foundation",https://www.ire.org/ire-receives-100000-from-ethics-excellence-in-journalism-foundation/,"February 17, 2011",hdcoadmin,"Investigative Reporters and Editors has received a $100,000 grant from the Ethics and Excellence in Journalism Foundation in support of its Better Watchdog Workshop program. This series of regional workshops […]","calculus, IRE News, lightning talks, Uncategorized"
Early registration ends Monday at noon for CAR Conference,https://www.ire.org/early-registration-ends-monday-at-noon-for-car-conference/,"February 11, 2011",hdcoadmin,There are only three days left to take advantage of the early-bird rate to attend IRE’s Computer-Assisted Reporting Conference. The deadline to register for the early rate of $195 ends […],"CAR Conference, data, IRE News, lightning talks, NICAR News, visualization"
Consider giving a lightning talk,https://www.ire.org/consider-giving-a-lightning-talk/,"February 10, 2011",hdcoadmin,"Editor’s note: Lightning Talks is one of more than 100 sessions being offered at the 2011 CAR Conference in Raleigh Feb. 24-27. This session consists of short, (no longer than […]",Uncategorized
Census offerings at CAR conference,https://www.ire.org/census-offerings-at-car-conference/,"February 9, 2011",hdcoadmin,Confused by the 2010 Census? Not sure of the difference between the decennial census and the annual American Community Survey? Worried about data issues? Looking for fresh census story ideas? […],"census, census_1, Conference"
2011 Philip Meyer Award winners announced,https://www.ire.org/2011-philip-meyer-award-winners-announced/,"February 4, 2011",hdcoadmin,Three major investigative reports that used social science research methods as key parts of their probes were named today as winners of the 2010 Philip Meyer Journalism Award. The Los […],"language processing, lightning talks, Philip Meyer Journalism Awards, Press Release, Uncategorized"
IRE expands Census toolkit,https://www.ire.org/ire-expands-census-toolkit/,"February 3, 2011",hdcoadmin,"Investigative Reporters and Editors has produced, gathered and organized a wealth of resources for mining census data. New Census 2010 data will be released on a rolling basis through the […]","CAR Conference, Census workshop, lightning, talks, Tools and Sources, webinar, webinar_1"
Census 2010 webinar available,https://www.ire.org/census-2010-webinar-available/,"February 1, 2011",hdcoadmin,Get ready for the next wave of Census 2010 data with a new webinar from IRE. The Census 2010 webinar is available for purchase and download here. Cost is $5 for […],"code, lightning talks, Uncategorized"
Census data available to IRE members,https://www.ire.org/census-data-available-to-ire-members/,"January 31, 2011",hdcoadmin,"As journalists gear up for the second release of data from the 2010 Census, members of Investigative Reporters and Editors will be able to download data ready for analysis thanks […]","lgorithm, Census workshop, lightning talks"
"Ask, and often you receive",https://www.ire.org/ask-and-often-you-receive/,"January 13, 2011",hdcoadmin,"By Doug Haddix, IRE training director A public records request for e-mails sometimes can produce quick-turn watchdog stories with powerful results. Take the experience of John Russell, a business reporter […]","custom training, custom-training_1, environment, FOIA, public records, Uncategorized"
Investigative reporter Dusty McNichol dies at 54,https://www.ire.org/investigative-reporter-dusty-mcnichol-dies-at-54/,"January 5, 2011",hdcoadmin,"Long-time IRE member Dunstan ""Dusty"" McNichol died unexpectedly Tuesday. He was 54. McNichol, who contributed to the IRE Journal and spoke at IRE Conferences, was an active member of IRE […]",
2010 IRE Awards - Call for Entries,https://www.ire.org/2010-ire-awards-call-for-entries/,"December 29, 2010",hdcoadmin,"Please do not miss the opportunity to enter your best work in the 2010 IRE Awards. The postmark deadline is Friday, January 14, 2011. The entry form can be found […]","CAR Conference, environment, IRE Awards, NICAR, water"
IRE Board urges government restraint regarding Wikileaks documents,https://www.ire.org/ire-board-urges-government-restraint-regarding-wikileaks-documents/,"December 22, 2010",hdcoadmin,The Board of the Investigative Reporters and Editors (IRE) strongly encourages the U.S. government to exercise great restraint when considering matters surrounding the documents released through Wikileaks or taking any […],"census, IRE Board, IRE News"
Why students should attend the CAR conference,https://www.ire.org/why-students-should-attend-the-car-conference/,"December 10, 2010",hdcoadmin,"By Derek Willis IRE Member Hey there, journalism student! A bunch of your colleagues are having a get-together in February, and you should come. Actually, you need to be there. […]","CAR Conference, car_1, Conference"
IRE calls for change in Texas university’s public records policy,https://www.ire.org/ire-calls-for-change-in-texas-universitys-public-records-policy/,"December 8, 2010",hdcoadmin,Investigative Reporters and Editors has joined the Society of Professional Journalists and the Reporters Committee for Freedom of the Press in asking administrators at Tarleton State University to stop barring […],"breaking news, Philip Meyer Journalism Award"
Census webinar ready for download,https://www.ire.org/census-webinar-ready-for-download/,"December 1, 2010",hdcoadmin,"This month, new American Community Survey data for census tracts will be released. This will be the first detailed demographic data at the neighborhood level from the U.S. Census Bureau […]","American Community Survey, census, census_1, webinar, webinar_1"
2010 IRE Awards Call for Entries,https://www.ire.org/2010-ire-awards-call-for-entries-2/,"November 29, 2010",hdcoadmin,"It’s that time of year again – time to consider entering your best work into the IRE Awards. Among the most prestigious in journalism, the IRE Awards recognize outstanding investigative […]",IRE Awards
Sharpen rural coverage,https://www.ire.org/sharpen-rural-coverage/,"November 17, 2010",hdcoadmin,"By Doug Haddix, IRE training director Plenty of watchdog stories are waiting to be told in small towns and rural areas across America, says Daniel Gilbert of The Wall Street […]","watchdog-1, Workshop"
The latest in IRE’s series of bilingual border workshops,https://www.ire.org/the-latest-in-ires-series-of-bilingual-border-workshops/,"November 17, 2010",hdcoadmin,The latest in IRE’s series of bilingual border workshops was a great success. Held in Laredo Nov. 12-13 in a historic hotel with a view of the Rio Grande river […],"raining, training_1"
New CAR contest for students,https://www.ire.org/new-car-contest-for-students/,"November 16, 2010",hdcoadmin,Four student journalists will be selected as winners in IRE's new student computer-assisted reporting contest. The winners will receive free registration to IRE's Computer-Assisted Reporting Conference on Feb. 24-27 in […],"campus, car, CAR Conference, car_1, contest, student"
Newsroom training options updated,https://www.ire.org/newsroom-training-options-updated/,"October 29, 2010",hdcoadmin,"As newsrooms continue work on their 2011 budgets, it’s the perfect time to consider bringing IRE training to your staff. See a full list of IRE presentations and software hands-on […]","Uncategorized, z-scores"
Don't be a stenographer and other tips from a Pulitzer Prize winner,https://www.ire.org/dont-be-a-stenographer-and-other-tips-from-a-pulitzer-prize-winner/,"October 27, 2010",hdcoadmin,"By Mark Horvit, IRE Executive Director Nigel Jaquiss has  a strong but simple message for those who cover local government: ""Do not be a stenographer."" Jaquiss, a Pultizer Prize and […]","tips, tips_1"
Apply now for the Philip Meyer Journalism Awards,https://www.ire.org/apply-now-for-the-philip-meyer-journalism-awards/,"October 13, 2010",hdcoadmin,Toxic air and school children. Deadly infections in hospitals. Dangerous care in nursing homes. Journalists tackled each of these issues last year with work that won the Philip Meyer Journalism […],"CAR Conference, Philip Meyer Journalism Awards"
Check out these training sessions online,https://www.ire.org/check-out-these-training-sessions-online/,"October 12, 2010",hdcoadmin,"There are new training videos are available on the IRE website, including free CAR training videos for IRE members. If you missed Tisha Thompson's recent webinar that highlighted documents and […]","ools and Sources, Training, training_1"
Dig into local leaders,https://www.ire.org/dig-into-local-leaders/,"September 28, 2010",hdcoadmin,"By Doug Haddix, IRE training director Reporters should make one to three calls a day to sources whom they don’t need for a deadline story. That’s the most effective way […]","tips, tips_1, Watchdog Workshop"
IRE announces new training fellowship for rural journalism,https://www.ire.org/ire-announces-new-training-fellowship-for-rural-journalism/,"September 26, 2010",hdcoadmin,A new fellowship is available for reporters from news organizations that serve a largely rural audience. It will help send such journalists to IRE's computer-assisted reporting boot camps. The R-CAR […],Uncategorized
IRE census training in Vegas plus webinars,https://www.ire.org/ire-census-training-in-vegas-plus-webinars/,"September 22, 2010",hdcoadmin,Investigative Reporters and Editors will present a half-day census workshop Oct. 4 during the SPJ national convention in Las Vegas. Full details are online at http://www.spj.org/c-halfday.asp. USA TODAY database editor […],"census, census_1"
"Two photojournalists shot, one killed in Juarez",https://www.ire.org/two-photojournalists-shot-one-killed-in-juarez/,"September 17, 2010",hdcoadmin,"Two photographers for the Mexican daily newspaper El Diario de Juarez were shot Thursday by unidentified gunmen outside the newspaper offices. Luis Carlos Santiago, a 21-year-old recently-hired photographer, was killed; […]",IRE News
Census workshops scheduled this fall,https://www.ire.org/census-workshops-scheduled-this-fall/,"September 8, 2010",hdcoadmin,IRE will present two regional workshops this fall to help you get ready for Census 2010 data and learn how to use annual census surveys to produce compelling enterprise stories. […],"lgorithms, Census workshop, Training, training_1"
Be a Better Business Watchdog,https://www.ire.org/be-a-better-business-watchdog/,"September 3, 2010",hdcoadmin,"Polish your skills in computer-assisted reporting (CAR) and learn how to hold local businesses accountable with this free workshop in Atlanta, Oct. 11, co-presented by the Donald W. Reynolds National Center for Business Journalism […]","coding, Uncategorized"
Quick fix to tame PDFs,https://www.ire.org/quick-fix-to-tame-pdfs/,"September 1, 2010",hdcoadmin,"By Jaimi Dowdell, IRE training director A couple of weeks ago, I was teaching at a computer-assisted reporting boot camp in San Diego. The class had been through spreadsheets and […]","Boot Camp, tips, tips_1, Uncategorized"
"Upcoming Statistics Boot Camp - November 12-14, 2010",https://www.ire.org/upcoming-statistics-boot-camp-november-12-14-2010/,"August 31, 2010",hdcoadmin,Return to your newsroom ready to craft statistics into stories that count! This workshop is aimed at strengthening the skills of reporters who already are familiar with basic computer-assisted reporting […],Uncategorized
Audio from 2010 IRE Conference now available to members,https://www.ire.org/audio-from-2010-ire-conference-now-available-to-members/,"August 26, 2010",hdcoadmin,"Audio from the 2010 IRE Conference (Las Vegas, Nev.) is now available for members to stream online. A DVD of the audio is available to order from the Resource Center. […]","IRE Conference, Resource Center"
Be active with records requests,https://www.ire.org/be-active-with-records-requests/,"August 25, 2010",hdcoadmin,"By Doug Haddix, IRE training director Getting public records often takes far more effort than filing a written request and simply waiting for the juicy documents to arrive. “It’s reporting, […]","photos, Uncategorized"
Sharpen your interviewing skills,https://www.ire.org/sharpen-your-interviewing-skills/,"August 10, 2010",hdcoadmin,"By Doug Haddix, IRE training director Studies have shown that the actual words account for only about 7 percent of communication between two people, according to Amy Herdy of the […]",Uncategorized
Fall webinar lineup,https://www.ire.org/fall-webinar-lineup/,"August 5, 2010",hdcoadmin,"By Jaimi Dowdell, IRE training director Tap in to practical training from your home or office with IRE's online sessions. This fall we're rolling out a series of webinars led […]",Uncategorized
"""The New Muckrakers"" available from IRE",https://www.ire.org/the-new-muckrakers-available-from-ire/,"August 4, 2010",hdcoadmin,"Be inspired by the greats who heralded in a new breed of watchdog journalism. ""The New Muckrakers,"" with an updated forward by author Leonard Downie, Jr., is now available from […]",Resource Center
Make chronologies easier with TimeFlow,https://www.ire.org/make-chronologies-easier-with-timeflow/,"August 2, 2010",hdcoadmin,"By Jaimi Dowdell, IRE training director If you've ever been involved in an investigative story or in-depth project, you understand how important chronology can be. I’ve often sketched timelines on […]","environment, tips, tips_1"
On The Road: Manage your time for investigative stories,https://www.ire.org/on-the-road-manage-your-time-for-investigative-stories/,"July 28, 2010",hdcoadmin,"By Doug Haddix IRE training director Time management can be a reporter’s biggest challenge when it comes to watchdog stories. During a recent Better Watchdog Workshop in Denver, two seasoned […]","raining, training_1"
Manage your time for investigative stories,https://www.ire.org/manage-your-time-for-investigative-stories/,"July 27, 2010",hdcoadmin,"By Doug Haddix, IRE training director Time management can be a reporter’s biggest challenge when it comes to watchdog stories. During a recent Better Watchdog Workshop in Denver, two seasoned […]","interviewing, photos, sources-1, tips, tips_1, Uncategorized"
State Dept reverses decision to allow Colombian journalist to enter country for Neiman Foundation fellowship,https://www.ire.org/state-dept-reverses-decision-to-allow-colombian-journalist-to-enter-country-for-neiman-foundation-fellowship/,"July 27, 2010",hdcoadmin,"The U.S. State Department has reversed its decision to deny a visa to Colombian investigative journalist Hollman Morris, clearing the way for Morris to participate in the Nieman Foundation for […]",IRE News
"August Mapping Boot Camp -- seats are still available, register today!",https://www.ire.org/august-mapping-boot-camp-seats-are-still-available-register-today/,"July 19, 2010",hdcoadmin,"Take your CAR skills to the next level by learning how to uncover the “where” in your data, and receive a great deal on ArcView geographic system information system (GIS) […]",Uncategorized
Gannett bolsters watchdog work,https://www.ire.org/gannett-bolsters-watchdog-work/,"July 15, 2010",hdcoadmin,"By Doug Haddix, IRE training director Attorney Herschel Fink brandished a copy of a $400,000 check from the city of Detroit – payable to the Detroit Free Press for legal […]","custom training, custom-training_1"
IRE board protests State Dept's visa denial for Colombian investigative journalist,https://www.ire.org/ire-board-protests-state-depts-visa-denial-for-colombian-investigative-journalist/,"July 9, 2010",hdcoadmin,The board of Investigative Reporters and Editors joins other journalism organizations in the United States to protest the U.S. State Department’s recent decision to deny a visa for Colombian investigative […],"IRE Board, IRE News, Press Release"
Follow the money: Gulf oil spill,https://www.ire.org/follow-the-money-gulf-oil-spill/,"June 29, 2010",hdcoadmin,"By Jaimi Dowdell, IRE training director While oil is gushing into the Gulf of Mexico, the government is pouring resources into the cleanup effort. Track how much is being spent, […]","Links, tips, tips_1"
"August Boot Camps -- seats are still available, register today!",https://www.ire.org/august-boot-camps-seats-are-still-available-register-today/,"June 28, 2010",hdcoadmin,"Mapping Boot Camp August 13-15, 2010 (University of Missouri, Columbia, MO) Take your CAR skills to the next level by learning how to uncover the “where” in your data.  Instructors […]","Boot Camp, Training, training_1, Uncategorized"
Thanks and kudos to key IRE volunteers,https://www.ire.org/thanks-and-kudos-to-key-ire-volunteers/,"June 16, 2010",hdcoadmin,IRE would like to thank several volunteers and former board members whose efforts have made a significant difference to the organization over the past several years. The work of these […],"IRE Conference, IRE News"
Seven members elected to IRE board,https://www.ire.org/seven-members-elected-to-ire-board/,"June 15, 2010",hdcoadmin,"Seven members of IRE’s Board of Directors were elected this past weekend at the annual conference in Las Vegas. The newly elected members of the 13-member board are: Sarah Cohen, […]",IRE News
Training opportunity for online demographic data,https://www.ire.org/training-opportunity-for-online-demographic-data/,"June 15, 2010",hdcoadmin,IRE members have access to a Web-based data exploration application to quickly and easily analyze demographic data while on deadline. ESRI is offering an online seminar on using this tool […],Uncategorized
Stay up to date with the IRE Conference,https://www.ire.org/stay-up-to-date-with-the-ire-conference/,"June 10, 2010",hdcoadmin,Couldn't make it to the IRE Conference or to that panel you wanted to see? Follow the latest news out of the conference on IRE's Conference blog. IRE will be […],"IRE Conference, IRE News"
Loophole keeps gun dealer in business,https://www.ire.org/loophole-keeps-gun-dealer-in-business/,"June 10, 2010",hdcoadmin,"From almost the time it opened, a Wisconsin gun store has been in trouble with federal authorities. After repeated warnings about problems, the U.S. Bureau of Alcohol, Tobacco, Firearms and […]",
"Greenspun, strong supporter of IRE’s Watchdog program, dies at 88",https://www.ire.org/greenspun-strong-supporter-of-ires-watchdog-program-dies-at-88/,"June 4, 2010",hdcoadmin,"Barbara J. Greenspun, whose support has allowed IRE to train thousands of journalists throughout the country in investigative techniques, passed away on June 1. Greenspun, publisher of the Las Vegas […]","IRE News, Uncategorized"
It's not too late to come to the IRE conference in Las Vegas,https://www.ire.org/its-not-too-late-to-come-to-the-ire-conference-in-las-vegas/,"May 28, 2010",hdcoadmin,"While early-bird registration has ended, you have not missed your opportunity to attend this great training event.  On-site registrations will be accepted beginning Wednesday evening, June 9 from 4-6 p.m. […]",IRE Conference
Investigation finds mercury in face cream,https://www.ire.org/investigation-finds-mercury-in-face-cream/,"May 24, 2010",hdcoadmin,"A Chicago Tribune investigation discovered high levels of mercury in skin lightening creams sold throughout Chicago. The newspaper sent 50 skin-lightening creams to a certified lab for testing, most of […]",
Early-bird registration extended,https://www.ire.org/early-bird-registration-extended/,"May 17, 2010",hdcoadmin,"Early-bird registration has been extended until Tuesday, May 25 at 5p.m. (CT).  Don't delay, register today! To register visit the conference registration page.  To find out the scoop on panels, […]",IRE Conference
Teaching the trainer,https://www.ire.org/teaching-the-trainer/,"May 7, 2010",hdcoadmin,"By Doug Haddix, IRE training director Every trainer will tell you that one of the joys of the job is learning from people you’re training. During recent custom training for […]","custom training, custom-training_1, photos"
"Lightning Talks, Vegas Style -- It's not just for nerds!",https://www.ire.org/lightning-talks-vegas-style-its-not-just-for-nerds/,"May 4, 2010",hdcoadmin,"By Aron Pilhofer, The New York Times Our first go-around with lightning talks was so successful at NICAR that we're bringing them to Vegas. The app is up, so go […]",Conference
Behind the Selden Ring Award,https://www.ire.org/behind-the-selden-ring-award/,"April 26, 2010",hdcoadmin,"T. Christian Miller of ProPublica discusses ""Disposable Army,"" his series about contractors in Iraq. The stories won the 2010 Selden Ring Award for investigative reporting. Miller explains how the […]","ethnic media, Uncategorized, video"
IRE Board of Directors Elections,https://www.ire.org/ire-board-of-directors-elections/,"April 20, 2010",hdcoadmin,The filing period has begun for those planning to run for the IRE Board of Directors. Seven seats on the 13-member board are up for election. The election will be […],"environment, IRE Board, IRE Conference, Uncategorized"
NPR CEO Vivian Schiller to deliver keynote at IRE Conference,https://www.ire.org/npr-ceo-vivian-schiller-to-deliver-keynote-at-ire-conference/,"April 14, 2010",hdcoadmin,"Learn from many of the best journalists in the business at the IRE conference, June 10-13. The growing list of speakers includes, James Risen and Walt Bogdanich of The New […]","environment, IRE Conference, IRE News, Uncategorized"
Tips for covering immigrants,https://www.ire.org/tips-for-covering-immigrants/,"April 14, 2010",hdcoadmin,"By Doug Haddix, IRE Training Director When she gets e-mails and calls about controversial stories, Claudia Núñez of La Opinion in Los Angeles says some readers ask if she is working […]","ethnic media, tips, tips_1, Uncategorized, watchdog"
"Personality disorder used to discharge soldiers, strip them of benefits",https://www.ire.org/personality-disorder-used-to-discharge-soldiers-strip-them-of-benefits/,"April 13, 2010",hdcoadmin,"A report by Joshua Kors in The Nation explores the Army's fraudulent use of personality disorder diagnoses to discharge soldiers, thus stripping them of their disability benefits and long term […]",
Several IRE Members win Pulitzers for investigative work,https://www.ire.org/several-ire-members-win-pulitzers-for-investigative-work/,"April 12, 2010",hdcoadmin,"Congratulations to several IRE members who won Pulitzer Prizes today. Daniel Gilbert, who won the Public Service Pulitzer, also won an IRE Award this year. The Pulitzer committee wrote that […]","Investigations, IRE News"
Resources for covering the West Virginia mining disaster,https://www.ire.org/resources-for-covering-the-west-virginia-mining-disaster/,"April 6, 2010",hdcoadmin,Just a quick reminder that IRE and NICAR have resources available to assist in covering the fatal explosion at the Upper Big Branch mine in West Virginia.   A list of […],breaking news
Hawaii's long-term-care system for elderly fraught with problems,https://www.ire.org/hawaiis-long-term-care-system-for-elderly-fraught-with-problems/,"April 1, 2010",hdcoadmin,"In a four-part series, Rob Perez of the Honolulu Advertiser found Hawaii's long-term-care system for the elderly is fraught with problems, including a placement system tainted by kickbacks and fraud. […]",
2009 IRE Award winners announced,https://www.ire.org/2009-ire-award-winners-announced/,"March 29, 2010",hdcoadmin,"Investigations that exposed failures of government regulation, abuse of military personnel and failures of the criminal justice system are among the work honored in the 2009 Investigative Reporters and Editors […]",IRE Awards
Personnel law in North Carolina shrouds records in secrecy,https://www.ire.org/personnel-law-in-north-carolina-shrouds-records-in-secrecy/,"March 26, 2010",hdcoadmin,"Keeping Secrets, a three-part series by The News & Observer (Raleigh, NC)  for Sunshine Week, found North Carolina's 35-year-old personnel law is among the most secretive in the nation, barring […]",
Special probabtion protects dangerous drivers,https://www.ire.org/special-probabtion-protects-dangerous-drivers/,"March 26, 2010",hdcoadmin,"Joe Mahr and Gerry Smith of the Chicago Tribune did a computer analysis of state police speeding tickets and driving records. They found that nearly two-thirds of the time, people […]",
CAR2010: Don't stop the learning,https://www.ire.org/car2010-dont-stop-the-learning/,"March 19, 2010",hdcoadmin,"By Jaimi Dowdell, IRE Training Director IRE Resource Center staff have been busy adding tipsheets from the CAR conference. Handouts include information on forensic accounting, Web scraping, data on deadline, […]","Conference, tips, tips_1"
Free mapping tool available to IRE members,https://www.ire.org/free-mapping-tool-available-to-ire-members/,"March 17, 2010",hdcoadmin,IRE members have access to a Web-based data exploration application to quickly and easily analyze demographic data while on deadline. ESRI and IRE made a special agreement to offer ESRI […],"viation, IRE News"
The Year in CAR slideshow,https://www.ire.org/the-year-in-car-slideshow/,"March 16, 2010",hdcoadmin,Take a look at some of the best computer-assisted news stories from the past year in this presentation: Year in CAR slideshow. IRE executive director Mark Horvit and training director Doug […],Conference
Keep up with the latest news at the 2010 CAR Conference,https://www.ire.org/keep-up-with-the-latest-news-at-the-2010-car-conference/,"March 12, 2010",hdcoadmin,"There are several options for keeping up with the latest at the CAR conference. To keep track on Twitter, look for either #nicar or #nicar2010 and follow IRE/NICAR on Twitter […]",IRE News
"New York State road work account raided, little left for repairs",https://www.ire.org/new-york-state-road-work-account-raided-little-left-for-repairs/,"March 8, 2010",hdcoadmin,"Michelle Breidenbach of The Post-Standard (Syracuse, N.Y.) mined state financial documents to show the abuse of New York State's Dedicated Highway and Bridge Trust Fund. It's not ""dedicated"" at all. […]",
Reasons to be excited for the CAR conference,https://www.ire.org/reasons-to-be-excited-for-the-car-conference/,"March 5, 2010",hdcoadmin,"By Jaimi Dowdell,  IRE Training Director If you're still debating whether to head to Phoenix next week for the computer-assisted reporting conference, I want to give you a few reasons […]",Uncategorized
Important details for CAR 2010 conference attendees,https://www.ire.org/important-details-for-car-2010-conference-attendees/,"March 4, 2010",hdcoadmin,"On-site registrations will be accepted for the upcoming Computer-Assisted Reporting conference beginning Thursday, March 11 at the Sheraton Downtown Phoenix.   For details on where to go for registration, parking and […]",IRE News
Tips for investigating campus assault,https://www.ire.org/tips-for-investigating-campus-assault/,"March 1, 2010",hdcoadmin,"After 12 months of reporting, the Center for Public Integrity reached some troubling conclusions about how some colleges and universities collect and report sexual assault statistics, and how sexual assault […]","campus, Center for Public Integrity, environment, Uncategorized, webinar, webinar_1"
Few touch sanctions imposed in New England campus sexual assault cases,https://www.ire.org/few-touch-sanctions-imposed-in-new-england-campus-sexual-assault-cases/,"February 26, 2010",hdcoadmin,"Officials at the University of Massachusetts Amherst acknowledge that they allowed a student who confessed to raping a friend on campus last fall, a felony, to remain enrolled and avoid […]",
Education Deparment's enforcement of campus sexual assault cases is lacking,https://www.ire.org/education-deparments-enforcement-of-campus-sexual-assault-cases-is-lacking/,"February 26, 2010",hdcoadmin,"The Education Department is charged with enforcing laws on how schools deal with sexual assault, but its Office of Civil Rights rarely investigates student allegations of botched proceedings. When cases […]",
Developing a 'document state of mind',https://www.ire.org/developing-a-document-state-of-mind/,"February 24, 2010",hdcoadmin,"By Doug Haddix IRE Training Director Journalists can dig deeper and produce high-impact stories by developing a ""document state of mind."" Get practical advice in this short video featuring Brant […]","Ethnic Media Workshop, video"
Free webinar on campus assault,https://www.ire.org/free-webinar-on-campus-assault/,"February 19, 2010",hdcoadmin,Join Kristen Lombardi and David Donald of The Center for Public Integrity in a one-hour webinar that will help you understand how to investigate the ways colleges and universities handle […],"ult, campus, data, online, Uncategorized, webinar, webinar_1"
CAR Conference Early Bird Registration ends March 1,https://www.ire.org/car-conference-early-bird-registration-ends-march-1/,"February 17, 2010",hdcoadmin,"Register today to take advantage of the early bird rate of $190.  After Monday, March 1, this rate will increase to $220 on-site.  Registration information can be found at http://data.nicar.org/CAR2010/reg. […]",IRE News
Student blogs review workshop,https://www.ire.org/student-blogs-review-workshop/,"February 4, 2010",hdcoadmin,By Mark Horvit IRE Executive Director IRE brought the Watchdog Workshop series to the University of Alabama at Birmingham in late January. A great mix of journalists from throughout the […],Uncategorized
